Nombre_archivo;Namespace;begin_line;end_line;yield_line;
awswrangler\athena\__init__.py;None;None;None;None;
awswrangler\athena\_read.py;_fix_csv_types_generator';47;52;52;
awswrangler\athena\_read.py;_add_query_metadata_generator';55;61;61;
awswrangler\athena\_read.py;_delete_after_iterate';74;79;78;
awswrangler\athena\_utils.py;None;None;None;None; 
awswrangler\catalog\__init__.py;None;None;None;None; 
awswrangler\catalog\_add.py;None;None;None;None;
awswrangler\catalog\_create.py;None;None;None;None;
awswrangler\catalog\_definitions.py;None;None;None;None;
awswrangler\catalog\_delete.py;None;None;None;None; 
awswrangler\catalog\_get.py;get_databases';134;163;163; 
awswrangler\catalog\_get.py;get_tables';203;276;274;
awswrangler\catalog\_get.py;search_tables';361;398;393,398;
awswrangler\catalog\_utils.py;None;None;None;None; 
awswrangler\dynamodb\__init__.py;None;None;None;None;
awswrangler\dynamodb\_delete.py;None;None;None;None;
awswrangler\dynamodb\_utils.py;None;None;None;None;
awswrangler\dynamodb\_write.py;None;None;None;None;
awswrangler\quicksight\__init__.py;None;None;None;None;
awswrangler\quicksight\_cancel.py;None;None;None;None;
awswrangler\quicksight\_create.py;None;None;None;None;
awswrangler\quicksight\_delete.py;None;None;None;None;
awswrangler\quicksight\_describe.py;None;None;None;None;
awswrangler\quicksight\_get_list.py;None;None;None;None;
awswrangler\quicksight\_utils.py;None;None;None;None;
awswrangler\s3\__init__.py;None;None;None;None;
awswrangler\s3\_copy.py;None;None;None;None;
awswrangler\s3\_delete.py;None;None;None;None;
awswrangler\s3\_describe.py;None;None;None;None;
awswrangler\s3\_download.py;None;None;None;None;
awswrangler\s3\_fs.py;open_s3_object';562;601;587,596;
awswrangler\s3\_list.py;None;None;None;None;
awswrangler\s3\_merge_upsert_table.py;None;None;None;None;
awswrangler\s3\_read_excel.py;None;None;None;None;
awswrangler\s3\_read_parquet.py;_read_parquet_chunked';273;345;331,336,345;
awswrangler\s3\_read_text.py;_read_text_chunked';36;62;62;
awswrangler\s3\_read.py;None;None;None;None;
awswrangler\s3\_upload.py;None;None;None;None;
awswrangler\s3\_wait.py;None;None;None;None;
awswrangler\s3\_write_concurrent.py;None;None;None;None;
awswrangler\s3\_write_dataset.py;None;None;None;None;
awswrangler\s3\_write_excel.py;None;None;None;None;
awswrangler\s3\_write_parquet.py;_new_writer';56;85;82;
awswrangler\s3\_write_text.py;None;None;None;None;
awswrangler\s3\_write.py;None;None;None;None;
awswrangler\__init__.py;None;None;None;None;
awswrangler\__metadata__.py;None;None;None;None;
awswrangler\_config.py;None;None;None;None;
awswrangler\_data_types.py;_split_fields';229;240;238, 240;
awswrangler\_databases.py;_iterate_results';150;165;165;
awswrangler\_utils.py;empty_generator';209;211;211;
awswrangler\chime.py;None;None;None;None;
awswrangler\cloudwatch.py;None;None;None;None;
awswrangler\emr.py;None;None;None;None;
awswrangler\exceptions.py;None;None;None;None;
awswrangler\mysql.py;None;None;None;None;
awswrangler\postgresql.py;None;None;None;None;
awswrangler\redshift.py;_read_parquet_iterator';287;307;305;
awswrangler\secretsmanager.py;None;None;None;None;
awswrangler\sqlserver.py;None;None;None;None;
awswrangler\sts.py;None;None;None;None;
awswrangler\timestream.py;None;None;None;None;
tests\__init__.py;None;None;None;None;
tests\_utils.py;path_generator';516;523;521;
tests\conftest.py;loggroup';42;62;62;
tests\conftest.py;glue_table';174;180;178;
tests\conftest.py;glue_table2';184;189;188;
tests\conftest.py;path';192;194;194;
tests\conftest.py;path2';197;199;199;
tests\conftest.py;path3';202;204;204;
tests\conftest.py;redshift_table';207;216;211;
tests\conftest.py;postgresql_table';220;228;223;
tests\conftest.py;mysql_table';232;240;235;
tests\conftest.py;timestream_database_and_table';256;263;261;
tests\test__routines.py;None;None;None;None;
tests\test_athena_cache.py;None;None;None;None;
tests\test_athena_csv.py;None;None;None;None;
tests\test_athena_parquet.py;None;None;None;None;
tests\test_athena_projection.py;None;None;None;None;
tests\test_athena.py;None;None;None;None;
tests\test_chime.py;None;None;None;None;
tests\test_cloudwatch.py;None;None;None;None;
tests\test_config.py;None;None;None;None;
tests\test_emr.py;None;None;None;None;
tests\test_fs.py;None;None;None;None;
tests\test_glue.py;None;None;None;None;
tests\test_metadata.py;None;None;None;None;
tests\test_moto.py;moto_emr';22;24;24;
tests\test_moto.py;moto_sts';28;30;30;
tests\test_moto.py;moto_subnet';34;39;39;
tests\test_moto.py;moto_s3';43;47;47;
tests\test_moto.py;moto_glue';51;56;56;
tests\test_moto.py;moto_dynamodb';60;68;68;
tests\test_mysql.py;None;None;None;None;
tests\test_postgresql.py;None;None;None;None;
tests\test_quicksight.py;None;None;None;None;
tests\test_redshift.py;None;None;None;None;
tests\test_s3_excel.py;None;None;None;None;
tests\test_s3_merge_upsert.py;None;None;None;None;
tests\test_s3_parquet.py;None;None;None;None;
tests\test_s3_text_compressed.py;None;None;None;None;
tests\test_s3_text.py;None;None;None;None;
tests\test_s3.py;None;None;None;None;
tests\test_session.py;None;None;None;None;
tests\test_sqlserver.py;create_sql_server_database';17;36;36;
tests\test_sqlserver.py;sqlserver_con';40;43;42;
tests\test_timestream.py;None;None;None;None;
tests\test_utils.py;None;None;None;None;
setup.py;None;None;None;None;
